eng,ind
"""Indian culinary I personally think is not that delicious. Too many spices.""","""Masakan india menurut ku tidak enak. Terlalu banyak rempah"""
"""Our family came to this place because it was late and no other restos were open. Turns out, even at 10 p.m. the place was still packed, with no parking space or even empty seats available inside the resto. The staff looked so tired and sour while serving. For God's sake. In the end we just took our food to the hotel.""","""Kami sekeluarga ke tempat ini karena hari sudah larut malam dan tidak ada resto lain yang buka. Ternyata jam 10 malam pun tempat ini masih macet, parkir penuh dan tempat duduk di dalam resto penuh. Petugas yang tampak kelelahan melayani dengan masam. Ampun. Akhirnya makanan kami bawa ke hotel."""
"""Oh, yes, I also want the automatic receipt printing feature to be fixed.""","""Oh iya saya mau fitur cetak resi otomatis diperbaiki."""
"""In the begining of this year Djarum Foundation Cultural Service event will be held in collaboration with Garin Workshop. ""","""Awal tahun ini bakti budaya djarum foundation bekerjasama dengan dan garin workshop"""
"""By buying Morinaga Chil Kid and Chil School for Rp 500.000, mommies can get Rp 50.000 worth of GoPay vouchers""","""Dengan membeli morinaga chil kid dan chil school senilai rp 500. 000, bunda akan mendapatkan voucher gopay rp 50. 000."""
"""Right now tourists who love diving are very disappointed with Ambon Bay's conditions, which looks beautiful on the surface but is actually really dirty.""","""Saat ini para wisatawan pecinta diving sangat kecewa dengan kondisi teluk ambon yang nampak indah namun sangat kotor"""
"""Recommended for Indonesian style lunch, there are so many choice of foods you just have to pick. Mostly fried, such as empal, fried chicken, fried tofu, etc. Utensils used are old-school, such as metal plate, metal glass, reminding us of eating in the past. The service is quick. Awesome.""","""Rekomendasi untuk makan siang ala indonesia, pilihan makanannya banyak sekali tinggal tunjuk saja. Terbanyak yang bentuk gorengan, misalnya empal, ayam goreng, tahu goreng dll. peralatan makan yang dipakai yang ala model zaman dulu, seperti piring seng, gelas seng, mengingatkan makan di zaman dahulu. Pelayanan cepat. Mantap"""
"""The place is cozy, pretty windy but also refreshing. Good concept for the place, very cool VIP room. Absolutely instagrammable. Perfect for hanging out with friends, family, or significant other. The food is not bad either, and the price is also affordable. The cashier lady at that time was so friendly.""","""Tempatnya nyaman, sangat windy tapi sejuk juga. Konsep tempatnya bagus, vip roomnya keren sekali. Instagramable banget deh tempatnya. Cocok untuk nongkrong-nongkrong bareng teman, keluarga, pacar. Makanannya juga not bad, dan harganya juga terjangkau. Mbak kasirnya waktu itu ramah sekali."""
"""Seems like this old fart won't ever change his ways even after all this time, huh? Worst, most rotten person ever.""","""Ini tua bangka sudah bau tanah kok tidak sadar-sadar ya. manusia terburuk yang paling busuk."""
"""No Sunlight no Mama Lemon, just use Garnier Men Turbo Oil Control to wash your hands after cooking aka I can't get this slippery oil off my hands.""","""Tak ada sunlight dan mama lemon, garnier men turbo oil control pun jadi buat cuci tangan setelah masak alias licin cuy setelah kena minyak."""
"""Batagor Kingsley is very delicious and well-like by Jakartan people and families. Every time I go to Bandung, my family and friends always beg me for Batagor Kingsley""","""Batagor kingsley sangat lezat dan disukai oleh keluarga dan warga jakarta. Setiap kali pergi ke bandung, keluarga dan teman-teman selalu minta dibelikan batagor kingsley."""
"""The best coffee here are the avocado coffee and banana coffee. The avocado doesn't ruin the coffee flavour at all, perfect for my taste as a mixed coffee lover. The food they serve is also pretty tasty, my favorite being their french fries for an affordable price""","""Kopi yang paling enak di sini adalah kopi alpukat dan kopi pisang. Kopi bercampur alpukat tidak membuat rasa kopi ini memudar, sangat cocok di lidah saya sebagai pecinta kopi campuran. Jenis makanan yang disajikan pun lumayan enak, favorit saya adalah kentang gorengnya untuk harga terjangkau."""
"""He/She was caught making Jumbo-sized Indomie Goreng, even though just one of those won't be fulfilling.""","""Dia ketahuan bikin indomie goreng jumbo padahal kan kalau 1 itu tidak kenyang."""
"""I was invited to this restaurant by my business partner. When I tried the noodles, it tasted absolutely amazing. Unfortunately, at the time, mine was too salty. I couldn't really enjoy the amazing noodles because of that. For the atmosphere, it was just decent. However, it's really expensive, 2 bowls of noodles cost us Rp 95.000""","""Saat mengunjungi rumah makan ini karena diajak rekan bisnis saya. Saat saya menikmati mie ini terasa memiliki citarasa yang nikmat sekali. Sayang saat itu, mi saya terlalu asin. Sehingga mi yang seharusnya sangat nikmat tidak bisa saya rasakan. Untuk suasana tempat tergolong biasa-biasa saja. Untuk harga tergolong sangat mahal. 2 mangkok mie harganya rp. 95.000."""
"""This driver won't pick up my items since this noon. Please follow-up my complaint""","""Driver ini tidak mau pickup barang dari tadi siang. Mohon ditindaklanjuti."""
"""What a tiring morning I just want to rest""","""Pagi yang melelahkan rasanya ingin diam saja"""
"""Your field ain't in politics, dumbass!""","""Bidang lo bukan di dunia politik oon!"""
"""Curious to try tht rather famous chicken. That afternoon was empty, and I ordered a grilled chicken. Turns out the grilled chicken was spicy. My children couldn't eat them. They server shouldve asked us first whether we wanted spicy or not since there was 2 options. I then ordered 2 more non-spicy grilled chickens. My Goodness! It was as if the chicken was only fried and smeared with soy sauce. We had lost our appetite by then, ""","""Penasaran ingin dicoba ayam yang cukup terkenal itu. Siang itu sepi, pesan ayam bakar. Ternyata ayam bakarnya pedas. Anak-anak tidak bisa makan. Harusnya pelayan menanyakan mau pedas atau tidak karena ada 2 pilihan. Kemudian saya minta 2 ayam bakar yang tidak pedas. Ampun! Ayamnya cuma seperti digoreng terus dilumuri kecap. Kami sudah hilang napsu makan."""
"""At first I was a bit worried about the service's speed but it was pretty good and punctual. I forgot the name, but I remember ordering a mixed juice of some kind, which was nice. And the food was also okay. Oh yeah, they served free ice cream. You can try talking to the servers about it. Love it.""","""Awalnya ragu dengan kecepatan pelayanan di sini tapi lumayan lah, tepat waktu kok. aku lupa pesan jus apa sepertinya jus campuran begitu, oke sih. Dan makanannya juga ok. Ohya ini mereka kasi gratis es krim. Bisa dicoba tanya dengan pelayannya. Suka."""
"""Since coming to Bandung, only now do I get the chance to eat here. We ate in The Valley Suki. Our tummy's satisfied, food tastes really good, the waiters are friendly, and there's a nice view if you're by the window. Yes, with only Rp 190.000,- / person (tax included), you can eat anything you want. It works like Hanamasa but the place is way more fun.""","""Saya ke bandung baru kemarin baru kesampaian makan di sini. Kami makan di the valley suki. Kenyang, enak, pelayan ramah, dan pemandangannya keren kalau kita duduk dekat jendela. Ya dengan harga rp. 190.000, - / orang sudah termasuk pajak kita bisa makan sepuasnya, sistemnya seperti hanamasa tapi lebih asyik tempatnya."""
"""Don't know where to have a nice and affordable place to grab a bite? Just come right here. Me and my partner are really enjoying it. Most of the customers are young people, making us feel just as young again.""","""Bingung mau makan ke mana yang tempatnya asik, makanan enak dan harga terjangkau? Ke sini saja. Saya dan pasangan sangat menikmati. Pengunjung kebanyakan anak muda jadi ikutan merasa muda lagi."""
"""The place / location is pretty easy to spot. The building and its interior are interesting, especially the small garden inside that has an urn with water flowing out of it constantly. Makes the mood more romantic and pleasant. The menu offered had a lot of variety and as far as taste goes, it's quite good.""","""Dari segi letak / lokasi cukup mudah dicari. Bangunan dan isi bagian di dalamnya menarik, apalagi ada taman kecil di dalamnya yang diisi juga dengan gentong yang airnya dibiatkan mengalir terus. Membuat suasananya jadi tambah romantis dan menyenangkan. Menu yang disajikan lumayan variatif dan dari segi rasa lumayan enak."""
"""The sushi menu isn't large enough, you might wanna add a small portion, like 2 pieces each. There should also be complementaries such as wasabi and chilli powder. To be honest, not that special.""","""Menu sushi kurang banyak, kalau bisa ada menu sushi dengan porsi kecil 2 potong. Harusnya ada pelengkap, wasabi, cabe bubuk. Jadi sebenarnya kurang istimewa."""
"""My first time eating in this place. No concept of a cafe or a resto, just a humble eatery serving traditional meals.""","""Baru pertama kali saya makan di warung ini. Bukan konsep kafe atau resto tapi tampil dengan warung makan yang menyajikan makanan tradisional."""
"""I went to Maxi S resto with my family, turns out that there was a wedding party and birthday party so the place was jam-packed. What a poor service, then. If the place was that crowded, the resto staff should've told the customers before they park their cars while it's raining heavily outside, as the distance between the parking lot and the resto was quite far. Better yet, they should've closed the resto temporarily while the party was going on.""","""Saya datang ke maxi s resto bersama keluarga, ternyata di sana ada pesta pernikahan pesta ulang tahun sehingga tempat jadi penuh sekali. Pelayanannya jadi tidak baik. Seharusnya kalau tempat memang penuh, pihak resto memberitahukan kepada tamu sebelum tamu memarkirkan kendaraan saat itu hujan deras, jadi jarak tempat parkir ke resto lumayan jauh. Kalau perlu ditutup sementara selama pesta berlangsung."""
"""Telkom Hackaton is a training programme by Telkom Indonesia that aims to facilitate the younger generation who has experties in the Information Technology field and programming to develop their own startups.""","""Telkom hackathon merupakan sebuah program besutan telkom indonesia yang bertujuan untuk mewadahi para generasi muda yang memiliki keahlian di bidang teknologi informasi maupun pemrograman untuk mengembangkan perusahaan rintisan yang mereka miliki."""
"""I liked none of the drinks. The chicken was so-so. There was cheese sauce but I didn't like theirs. Not good""","""Minumannya saya tidak ada yang suka. Ayam gorengnya biasa saja. Ada saus keju tapi saya tidak suka saus keju di sini. Tidak enak."""
"""A highly recommended family resto, it has beautiful views surrounding it, comfortable huts, and great food. The night view of this resto is especially breathtaking.""","""Resto keluarga yang sangat direkomendasikan, pemandangan sekeliling resto yang sangat bagus, pondok-pondok yang nyaman, makanan yang disajikan juga lumayan enak, apalagi jika malam hari ini pemandangan resto sangat bagus"""
"""I went to this restaurant for dinner because I just happened to pass it on my way to the hotel I was staying in and me and my friends were hungry so we decided to eat here. The taste was so-so, but we had to pay first even though we weren't finished yet just because it was near the closing time.""","""Saya mampir ke restoran ini untuk makan malam karena kebetulan lewat dalam perjalanan menuju hotel saya menginap dan karena sudah kelaperan dan saya dan teman akhirnya memilih untuk mampir di restoran ini. Rasa makanannya biasa saja bahkan kami diharuskan membayar terlebih dahulu meskipun kami belum selesai makan hanya karena jam sudah mendekati waktu tutup."""
"""Our first impression of staying here, checking in at 2 in the afternoon was not possible because the previous guest checked out late. We were offered nothing from the staff as we waited for an hour while they cleaned our room. Then we were told that the restaurant would close at 5 p.m. so if we wanted to order food for dinner it had to be before 5. Kinda annoying.""","""Kesan pertama menginap di sini, check in tidak bisa jam 2 siang karena yang menginap sebelumnya terlambat check out, tidak ada apa pun yang ditawarkan pihak staf saat kami harus selama satu jam menunggu kamar dibersihkan. Kemudian kami juga diberitahukan bahwa restoran tutup jam 5 sore sehingga jika ingin memesan makanan untuk makan malam harus sebelum jam 5 sore. Cukup menyebalkan."""
