npsn,nama_sekolah,nilai_total,provinsi,kota/kab,jenis_sekolah
20623314,"MAN INSAN CENDEKIA SERPONG ,More..","666,494",Prov. Banten,Kota Tangerang Selatan,MA
20532145,"SMA KATOLIK ST.LOUIS 1 ,More..","641,482",Prov. Jawa Timur,Kota Surabaya,SMA
69978389,"SMA PRADITA DIRGANTARA ,More..","640,747",Prov. Jawa Tengah,Kab. Boyolali,SMA
69941723,"MAN INSAN CENDEKIA PEKALONGAN ,More..","637,499",Prov. Jawa Tengah,Kota Pekalongan,MA
20102568,"SMAN 8 JAKARTA ,More..","635,347",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20107313,"SMA LABSCHOOL KEBAYORAN ,More..","634,304",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20100170,"SMAS KANISIUS JAKARTA ,More..","632,269",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
20101622,"SMAN 2 JAKARTA ,More..","631,421",Prov. D.K.I. Jakarta,Kota Jakarta Barat,SMA
20219730,"SMAS BPK 1 PENABUR BANDUNG ,More..","630,562",Prov. Jawa Barat,Kota Bandung,SMA
20100199,"SMAN 68 JAKARTA ,More..","629,223",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
20403161,"SMAN 8 YOGYAKARTA ,More..","628,538",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
10263538,"SMAS UNGGUL DEL ,More..","628,100",Prov. Sumatera Utara,Kab. Toba,SMA
20403174,"SMAN 1 YOGYAKARTA ,More..","625,860",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20107319,"SMAN 28 JAKARTA ,More..","625,145",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
20403178,"SMAN 3 YOGYAKARTA ,More..","624,698",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
20103301,"SMAN 81 JAKARTA ,More..","624,037",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
20100601,"SMAS KRISTEN 5 BPK PENABUR ,More..","621,951",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
